
======================================================================
 TRAINING DQN AGENT
======================================================================
Device: cpu
Episodes: 3000
Batch size: 512
Learning rate: 0.001
Gamma: 0.99
Initial epsilon: 1.0
Final epsilon: 0.001
Epsilon decay episodes: 2000
Replay buffer size: 3000
Max episode pieces: 100000
======================================================================
Ep   10/3000 | Score:      0 | Pieces:  25 | Lines:   0 | Loss: 0.0000 | ε: 0.996
Ep   20/3000 | Score:      0 | Pieces:  14 | Lines:   0 | Loss: 0.0000 | ε: 0.991
Ep   30/3000 | Score:      0 | Pieces:  20 | Lines:   0 | Loss: 91.8222 | ε: 0.986
Ep   40/3000 | Score:      0 | Pieces:  20 | Lines:   0 | Loss: 147.9099 | ε: 0.981
Ep   50/3000 | Score:      0 | Pieces:  16 | Lines:   0 | Loss: 208.8484 | ε: 0.976
Ep   60/3000 | Score:      0 | Pieces:  16 | Lines:   0 | Loss: 297.6164 | ε: 0.971
Ep   70/3000 | Score:      0 | Pieces:  21 | Lines:   0 | Loss: 455.5542 | ε: 0.966
Ep   80/3000 | Score:      0 | Pieces:  20 | Lines:   0 | Loss: 637.6579 | ε: 0.961
Ep   90/3000 | Score:      0 | Pieces:  21 | Lines:   0 | Loss: 762.6592 | ε: 0.956
Ep  100/3000 | Score:      0 | Pieces:  17 | Lines:   0 | Loss: 854.2962 | ε: 0.951
Ep  110/3000 | Score:      0 | Pieces:  22 | Lines:   0 | Loss: 1008.2436 | ε: 0.946
New best score: 11 (< 1000, chưa lưu file)
Ep  120/3000 | Score:      0 | Pieces:  19 | Lines:   0 | Loss: 1162.3789 | ε: 0.941
Ep  130/3000 | Score:      0 | Pieces:  20 | Lines:   0 | Loss: 1216.9698 | ε: 0.936
Ep  140/3000 | Score:      0 | Pieces:  21 | Lines:   0 | Loss: 1217.1514 | ε: 0.931
Ep  150/3000 | Score:      0 | Pieces:  19 | Lines:   0 | Loss: 1410.1765 | ε: 0.926
Ep  160/3000 | Score:      0 | Pieces:  18 | Lines:   0 | Loss: 1468.4554 | ε: 0.921
Ep  170/3000 | Score:      0 | Pieces:  26 | Lines:   0 | Loss: 1609.2352 | ε: 0.916
Ep  180/3000 | Score:      0 | Pieces:  19 | Lines:   0 | Loss: 1857.5768 | ε: 0.911
Ep  190/3000 | Score:      0 | Pieces:  14 | Lines:   0 | Loss: 1918.2631 | ε: 0.906
Ep  200/3000 | Score:      0 | Pieces:  18 | Lines:   0 | Loss: 1904.4904 | ε: 0.901
Ep  210/3000 | Score:      0 | Pieces:  16 | Lines:   0 | Loss: 1835.9654 | ε: 0.896
Ep  220/3000 | Score:      0 | Pieces:  20 | Lines:   0 | Loss: 1925.2663 | ε: 0.891
Ep  230/3000 | Score:      0 | Pieces:  15 | Lines:   0 | Loss: 1890.4193 | ε: 0.886
Ep  240/3000 | Score:      0 | Pieces:  17 | Lines:   0 | Loss: 2078.2559 | ε: 0.881
Ep  250/3000 | Score:      0 | Pieces:  18 | Lines:   0 | Loss: 2187.0496 | ε: 0.876
Ep  260/3000 | Score:      0 | Pieces:  16 | Lines:   0 | Loss: 2262.1491 | ε: 0.871
Ep  270/3000 | Score:      0 | Pieces:  20 | Lines:   0 | Loss: 2288.1530 | ε: 0.866
Ep  280/3000 | Score:      0 | Pieces:  15 | Lines:   0 | Loss: 1963.9675 | ε: 0.861
Ep  290/3000 | Score:      0 | Pieces:  14 | Lines:   0 | Loss: 1977.2738 | ε: 0.856
Ep  300/3000 | Score:      0 | Pieces:  16 | Lines:   0 | Loss: 2008.7969 | ε: 0.851
Ep  310/3000 | Score:      0 | Pieces:  13 | Lines:   0 | Loss: 2054.9433 | ε: 0.846
Ep  320/3000 | Score:      0 | Pieces:  19 | Lines:   0 | Loss: 2045.2322 | ε: 0.841
Ep  330/3000 | Score:      0 | Pieces:  20 | Lines:   0 | Loss: 2079.4261 | ε: 0.836
Ep  340/3000 | Score:      0 | Pieces:  17 | Lines:   0 | Loss: 2075.7091 | ε: 0.831
Ep  350/3000 | Score:      0 | Pieces:  18 | Lines:   0 | Loss: 1877.2228 | ε: 0.826
Ep  360/3000 | Score:      0 | Pieces:  14 | Lines:   0 | Loss: 1944.5742 | ε: 0.821
Ep  370/3000 | Score:      0 | Pieces:  17 | Lines:   0 | Loss: 1912.0997 | ε: 0.816
Ep  380/3000 | Score:      0 | Pieces:  16 | Lines:   0 | Loss: 2018.7940 | ε: 0.811
Ep  390/3000 | Score:      0 | Pieces:  15 | Lines:   0 | Loss: 2024.6851 | ε: 0.806
Ep  400/3000 | Score:      0 | Pieces:  23 | Lines:   0 | Loss: 2099.8616 | ε: 0.801
Ep  410/3000 | Score:      0 | Pieces:  17 | Lines:   0 | Loss: 2059.9053 | ε: 0.796
Ep  420/3000 | Score:      0 | Pieces:  17 | Lines:   0 | Loss: 1874.5104 | ε: 0.791
Ep  430/3000 | Score:      0 | Pieces:  18 | Lines:   0 | Loss: 1798.6220 | ε: 0.786
Ep  440/3000 | Score:      0 | Pieces:  21 | Lines:   0 | Loss: 2083.8698 | ε: 0.781
Ep  450/3000 | Score:      0 | Pieces:  14 | Lines:   0 | Loss: 2179.8036 | ε: 0.776
Ep  460/3000 | Score:      0 | Pieces:  22 | Lines:   0 | Loss: 2052.5071 | ε: 0.771
Ep  470/3000 | Score:      0 | Pieces:  15 | Lines:   0 | Loss: 1989.8696 | ε: 0.766
Ep  480/3000 | Score:      0 | Pieces:  26 | Lines:   0 | Loss: 1979.3812 | ε: 0.761
Ep  490/3000 | Score:      0 | Pieces:  15 | Lines:   0 | Loss: 1951.6612 | ε: 0.756
Ep  500/3000 | Score:      0 | Pieces:  21 | Lines:   0 | Loss: 1895.8253 | ε: 0.751
Ep  510/3000 | Score:      0 | Pieces:  18 | Lines:   0 | Loss: 1639.8556 | ε: 0.746
Ep  520/3000 | Score:      0 | Pieces:  21 | Lines:   0 | Loss: 1524.1334 | ε: 0.741
